X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
0,155.0,0,12,44,2,3,3,9,55.0,255.0,1,200.0
1,200.0,0,8,26,1,1,4,15,100.0,300.0,1,200.0
0,84.0,0,2,43,2,2,3,9,-16.0,184.0,0,200.0
1,170.0,0,14,33,1,2,5,1,70.0,270.0,1,200.0
1,420.0,1,8,32,1,2,4,3,320.0,520.0,1,200.0
0,160.0,0,1,31,1,1,3,18,60.0,260.0,1,200.0
0,290.0,1,1,44,2,2,3,3,190.0,390.0,1,200.0
1,220.0,1,11,33,2,2,5,11,120.0,320.0,1,200.0
1,80.0,0,4,19,1,1,5,7,-20.0,180.0,0,200.0
0,140.0,0,8,35,1,1,3,3,40.0,240.0,1,200.0
1,320.0,1,1,36,1,1,5,3,220.0,420.0,1,200.0
0,420.0,1,8,47,1,3,3,6,320.0,520.0,1,200.0
0,144.0,0,5,30,1,1,2,7,44.0,244.0,1,200.0
0,120.0,0,5,63,2,3,3,17,20.0,220.0,1,200.0
